प्रतिस्पर्धियों	0	15	प	प्	प्र	ं	ों	यों	0	प	्	र	त	ि	प्	्र	रत	ति	िस	प्र	्रत	रति	तिस	िस्	प्रत	्रति	रतिस	तिस्	िस्प	प्रति	्रतिस	रतिस्	तिस्प	िस्पर	NULL	NULL	पर	भारी	0
ठीक	0	3	ठ	ठी	ठीक	क	ीक	ठीक	0	ठ	ी	क	_	_	ठी	ीक	क_	__	__	ठीक	ीक_	क__	___	___	ठीक_	ीक__	क___	____	____	ठीक__	ीक___	क____	_____	_____	सकते	हैं	वैसे	ही	0
वैसे	0	4	व	वै	वैस	े	से	ैसे	0	व	ै	स	े	_	वै	ैस	से	े_	__	वैस	ैसे	से_	े__	___	वैसे	ैसे_	से__	े___	____	वैसे_	ैसे__	से___	े____	_____	हैं	ठीक	ही	जैसे	0
ही	1	2	ह	ही	NULL	ी	ही	NULL	0	ह	ी	_	_	_	ही	ी_	__	__	__	ही_	ी__	___	___	___	ही__	ी___	____	____	____	ही___	ी____	_____	_____	_____	ठीक	वैसे	जैसे	एंड्रॉयड	0
जैसे	1	4	ज	जै	जैस	े	से	ैसे	0	ज	ै	स	े	_	जै	ैस	से	े_	__	जैस	ैसे	से_	े__	___	जैसे	ैसे_	से__	े___	____	जैसे_	ैसे__	से___	े____	_____	वैसे	ही	एंड्रॉयड	फोन	0
एंड्रॉयड	0	8	ए	एं	एंड	ड	यड	ॉयड	0	ए	ं	ड	्	र	एं	ंड	ड्	्र	रॉ	एंड	ंड्	ड्र	्रॉ	रॉय	एंड्	ंड्र	ड्रॉ	्रॉय	रॉयड	एंड्र	ंड्रॉ	ड्रॉय	्रॉयड	रॉयड_	ही	जैसे	फोन	यूजर्स	0
फोन	0	3	फ	फो	फोन	न	ोन	फोन	0	फ	ो	न	_	_	फो	ोन	न_	__	__	फोन	ोन_	न__	___	___	फोन_	ोन__	न___	____	____	फोन__	ोन___	न____	_____	_____	जैसे	एंड्रॉयड	यूजर्स	वॉलपेपर	0
यूजर्स	0	6	य	यू	यूज	स	्स	र्स	0	य	ू	ज	र	्	यू	ूज	जर	र्	्स	यूज	ूजर	जर्	र्स	्स_	यूजर	ूजर्	जर्स	र्स_	्स__	यूजर्	ूजर्स	जर्स_	र्स__	्स___	एंड्रॉयड	फोन	वॉलपेपर	बदलते	0
वॉलपेपर	0	7	व	वॉ	वॉल	र	पर	ेपर	0	व	ॉ	ल	प	े	वॉ	ॉल	लप	पे	ेप	वॉल	ॉलप	लपे	पेप	ेपर	वॉलप	ॉलपे	लपेप	पेपर	ेपर_	वॉलपे	ॉलपेप	लपेपर	पेपर_	ेपर__	फोन	यूजर्स	बदलते	हैं	B_ASP
बदलते	0	5	ब	बद	बदल	े	ते	लते	0	ब	द	ल	त	े	बद	दल	लत	ते	े_	बदल	दलत	लते	ते_	े__	बदलत	दलते	लते_	ते__	े___	बदलते	दलते_	लते__	ते___	े____	यूजर्स	वॉलपेपर	हैं	NULL	0
हैं	1	3	ह	है	हैं	ं	ैं	हैं	0	ह	ै	ं	_	_	है	ैं	ं_	__	__	हैं	ैं_	ं__	___	___	हैं_	ैं__	ं___	____	____	हैं__	ैं___	ं____	_____	_____	वॉलपेपर	बदलते	NULL	NULL	0
EOL
ऑडियो	0	5	ऑ	ऑड	ऑडि	ो	यो	ियो	1	ऑ	ड	ि	य	ो	ऑड	डि	िय	यो	ो_	ऑडि	डिय	ियो	यो_	ो__	ऑडिय	डियो	ियो_	यो__	ो___	ऑडियो	डियो_	ियो__	यो___	ो____	NULL	NULL	इक्वेलाइजर	और	B_ASP
इक्वेलाइजर	0	10	इ	इक	इक्	र	जर	इजर	0	इ	क	्	व	े	इक	क्	्व	वे	ेल	इक्	क्व	्वे	वेल	ेला	इक्व	क्वे	्वेल	वेला	ेलाइ	इक्वे	क्वेल	्वेला	वेलाइ	ेलाइज	NULL	ऑडियो	और	कुछ	I_ASP
और	1	2	औ	और	NULL	र	और	NULL	0	औ	र	_	_	_	और	र_	__	__	__	और_	र__	___	___	___	और__	र___	____	____	____	और___	र____	_____	_____	_____	ऑडियो	इक्वेलाइजर	कुछ	इफेक्ट्स	0
कुछ	1	3	क	कु	कुछ	छ	ुछ	कुछ	0	क	ु	छ	_	_	कु	ुछ	छ_	__	__	कुछ	ुछ_	छ__	___	___	कुछ_	ुछ__	छ___	____	____	कुछ__	ुछ___	छ____	_____	_____	इक्वेलाइजर	और	इफेक्ट्स	डालने	0
इफेक्ट्स	0	8	इ	इफ	इफे	स	्स	ट्स	0	इ	फ	े	क	्	इफ	फे	ेक	क्	्ट	इफे	फेक	ेक्	क्ट	्ट्	इफेक	फेक्	ेक्ट	क्ट्	्ट्स	इफेक्	फेक्ट	ेक्ट्	क्ट्स	्ट्स_	और	कुछ	डालने	के	0
डालने	0	5	ड	डा	डाल	े	ने	लने	0	ड	ा	ल	न	े	डा	ाल	लन	ने	े_	डाल	ालन	लने	ने_	े__	डालन	ालने	लने_	ने__	े___	डालने	ालने_	लने__	ने___	े____	कुछ	इफेक्ट्स	के	लिए	0
के	1	2	क	के	NULL	े	के	NULL	0	क	े	_	_	_	के	े_	__	__	__	के_	े__	___	___	___	के__	े___	____	____	____	के___	े____	_____	_____	_____	इफेक्ट्स	डालने	लिए	ऑडियोएफएक्स	0
लिए	1	3	ल	लि	लिए	ए	िए	लिए	0	ल	ि	ए	_	_	लि	िए	ए_	__	__	लिए	िए_	ए__	___	___	लिए_	िए__	ए___	____	____	लिए__	िए___	ए____	_____	_____	डालने	के	ऑडियोएफएक्स	ऐप	0
ऑडियोएफएक्स	0	11	ऑ	ऑड	ऑडि	स	्स	क्स	0	ऑ	ड	ि	य	ो	ऑड	डि	िय	यो	ोए	ऑडि	डिय	ियो	योए	ोएफ	ऑडिय	डियो	ियोए	योएफ	ोएफए	ऑडियो	डियोए	ियोएफ	योएफए	ोएफएक	के	लिए	ऐप	दिया	B_ASP
ऐप	0	2	ऐ	ऐप	NULL	प	ऐप	NULL	1	ऐ	प	_	_	_	ऐप	प_	__	__	__	ऐप_	प__	___	___	___	ऐप__	प___	____	____	____	ऐप___	प____	_____	_____	_____	लिए	ऑडियोएफएक्स	दिया	गया	I_ASP
दिया	1	4	द	दि	दिय	ा	या	िया	0	द	ि	य	ा	_	दि	िय	या	ा_	__	दिय	िया	या_	ा__	___	दिया	िया_	या__	ा___	____	दिया_	िया__	या___	ा____	_____	ऑडियोएफएक्स	ऐप	गया	है	0
गया	1	3	ग	गय	गया	ा	या	गया	0	ग	य	ा	_	_	गय	या	ा_	__	__	गया	या_	ा__	___	___	गया_	या__	ा___	____	____	गया__	या___	ा____	_____	_____	ऐप	दिया	है	NULL	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	दिया	गया	NULL	NULL	0
EOL
इस	1	2	इ	इस	NULL	स	इस	NULL	0	इ	स	_	_	_	इस	स_	__	__	__	इस_	स__	___	___	___	इस__	स___	____	____	____	इस___	स____	_____	_____	_____	NULL	NULL	आकार	के	0
आकार	0	4	आ	आक	आका	र	ार	कार	1	आ	क	ा	र	_	आक	का	ार	र_	__	आका	कार	ार_	र__	___	आकार	कार_	ार__	र___	____	आकार_	कार__	ार___	र____	_____	NULL	इस	के	लिए	0
के	1	2	क	के	NULL	े	के	NULL	0	क	े	_	_	_	के	े_	__	__	__	के_	े__	___	___	___	के__	े___	____	____	____	के___	े____	_____	_____	_____	इस	आकार	लिए	डिस्प्ले	0
लिए	1	3	ल	लि	लिए	ए	िए	लिए	0	ल	ि	ए	_	_	लि	िए	ए_	__	__	लिए	िए_	ए__	___	___	लिए_	िए__	ए___	____	____	लिए__	िए___	ए____	_____	_____	आकार	के	डिस्प्ले	में	0
डिस्प्ले	0	8	ड	डि	डिस	े	ले	्ले	1	ड	ि	स	्	प	डि	िस	स्	्प	प्	डिस	िस्	स्प	्प्	प्ल	डिस्	िस्प	स्प्	्प्ल	प्ले	डिस्प	िस्प्	स्प्ल	्प्ले	प्ले_	के	लिए	में	शार्पनेस	B_ASP
में	1	3	म	मे	में	ं	ें	में	0	म	े	ं	_	_	मे	ें	ं_	__	__	में	ें_	ं__	___	___	में_	ें__	ं___	____	____	में__	ें___	ं____	_____	_____	लिए	डिस्प्ले	शार्पनेस	और	I_ASP
शार्पनेस	0	8	श	शा	शार	स	ेस	नेस	0	श	ा	र	्	प	शा	ार	र्	्प	पन	शार	ार्	र्प	्पन	पने	शार्	ार्प	र्पन	्पने	पनेस	शार्प	ार्पन	र्पने	्पनेस	पनेस_	डिस्प्ले	में	और	रिजॉल्यूशन	I_ASP
और	1	2	औ	और	NULL	र	और	NULL	0	औ	र	_	_	_	और	र_	__	__	__	और_	र__	___	___	___	और__	र___	____	____	____	और___	र____	_____	_____	_____	में	शार्पनेस	रिजॉल्यूशन	की	0
रिजॉल्यूशन	0	10	र	रि	रिज	न	शन	ूशन	1	र	ि	ज	ॉ	ल	रि	िज	जॉ	ॉल	ल्	रिज	िजॉ	जॉल	ॉल्	ल्य	रिजॉ	िजॉल	जॉल्	ॉल्य	ल्यू	रिजॉल	िजॉल्	जॉल्य	ॉल्यू	ल्यूश	शार्पनेस	और	की	कमी	B_ASP
की	1	2	क	की	NULL	ी	की	NULL	0	क	ी	_	_	_	की	ी_	__	__	__	की_	ी__	___	___	___	की__	ी___	____	____	____	की___	ी____	_____	_____	_____	और	रिजॉल्यूशन	कमी	है	0
कमी	0	3	क	कम	कमी	ी	मी	कमी	0	क	म	ी	_	_	कम	मी	ी_	__	__	कमी	मी_	ी__	___	___	कमी_	मी__	ी___	____	____	कमी__	मी___	ी____	_____	_____	रिजॉल्यूशन	की	है	NULL	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	की	कमी	NULL	NULL	0
EOL
जिस	0	3	ज	जि	जिस	स	िस	जिस	0	ज	ि	स	_	_	जि	िस	स_	__	__	जिस	िस_	स__	___	___	जिस_	िस__	स___	____	____	जिस__	िस___	स____	_____	_____	NULL	NULL	कीमत	पर	0
कीमत	0	4	क	की	कीम	त	मत	ीमत	1	क	ी	म	त	_	की	ीम	मत	त_	__	कीम	ीमत	मत_	त__	___	कीमत	ीमत_	मत__	त___	____	कीमत_	ीमत__	मत___	त____	_____	NULL	जिस	पर	ये	B_ASP
पर	1	2	प	पर	NULL	र	पर	NULL	0	प	र	_	_	_	पर	र_	__	__	__	पर_	र__	___	___	___	पर__	र___	____	____	____	पर___	र____	_____	_____	_____	जिस	कीमत	ये	डुअल	0
ये	1	2	य	ये	NULL	े	ये	NULL	0	य	े	_	_	_	ये	े_	__	__	__	ये_	े__	___	___	___	ये__	े___	____	____	____	ये___	े____	_____	_____	_____	कीमत	पर	डुअल	सिम	0
डुअल	0	4	ड	डु	डुअ	ल	अल	ुअल	0	ड	ु	अ	ल	_	डु	ुअ	अल	ल_	__	डुअ	ुअल	अल_	ल__	___	डुअल	ुअल_	अल__	ल___	____	डुअल_	ुअल__	अल___	ल____	_____	पर	ये	सिम	फोन	B_ASP
सिम	0	3	स	सि	सिम	म	िम	सिम	1	स	ि	म	_	_	सि	िम	म_	__	__	सिम	िम_	म__	___	___	सिम_	िम__	म___	____	____	सिम__	िम___	म____	_____	_____	ये	डुअल	फोन	बिक	I_ASP
फोन	0	3	फ	फो	फोन	न	ोन	फोन	0	फ	ो	न	_	_	फो	ोन	न_	__	__	फोन	ोन_	न__	___	___	फोन_	ोन__	न___	____	____	फोन__	ोन___	न____	_____	_____	डुअल	सिम	बिक	रहा	0
बिक	0	3	ब	बि	बिक	क	िक	बिक	0	ब	ि	क	_	_	बि	िक	क_	__	__	बिक	िक_	क__	___	___	बिक_	िक__	क___	____	____	बिक__	िक___	क____	_____	_____	सिम	फोन	रहा	है	0
रहा	1	3	र	रह	रहा	ा	हा	रहा	0	र	ह	ा	_	_	रह	हा	ा_	__	__	रहा	हा_	ा__	___	___	रहा_	हा__	ा___	____	____	रहा__	हा___	ा____	_____	_____	फोन	बिक	है	उस	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	बिक	रहा	उस	कीमत	0
उस	1	2	उ	उस	NULL	स	उस	NULL	0	उ	स	_	_	_	उस	स_	__	__	__	उस_	स__	___	___	___	उस__	स___	____	____	____	उस___	स____	_____	_____	_____	रहा	है	कीमत	के	0
कीमत	0	4	क	की	कीम	त	मत	ीमत	1	क	ी	म	त	_	की	ीम	मत	त_	__	कीम	ीमत	मत_	त__	___	कीमत	ीमत_	मत__	त___	____	कीमत_	ीमत__	मत___	त____	_____	है	उस	के	लिहाज	B_ASP
के	1	2	क	के	NULL	े	के	NULL	0	क	े	_	_	_	के	े_	__	__	__	के_	े__	___	___	___	के__	े___	____	____	____	के___	े____	_____	_____	_____	उस	कीमत	लिहाज	से	0
लिहाज	0	5	ल	लि	लिह	ज	ाज	हाज	0	ल	ि	ह	ा	ज	लि	िह	हा	ाज	ज_	लिह	िहा	हाज	ाज_	ज__	लिहा	िहाज	हाज_	ाज__	ज___	लिहाज	िहाज_	हाज__	ाज___	ज____	कीमत	के	से	तो	0
से	1	2	स	से	NULL	े	से	NULL	0	स	े	_	_	_	से	े_	__	__	__	से_	े__	___	___	___	से__	े___	____	____	____	से___	े____	_____	_____	_____	के	लिहाज	तो	ये	0
तो	1	2	त	तो	NULL	ो	तो	NULL	0	त	ो	_	_	_	तो	ो_	__	__	__	तो_	ो__	___	___	___	तो__	ो___	____	____	____	तो___	ो____	_____	_____	_____	लिहाज	से	ये	बेहद	0
ये	1	2	य	ये	NULL	े	ये	NULL	0	य	े	_	_	_	ये	े_	__	__	__	ये_	े__	___	___	___	ये__	े___	____	____	____	ये___	े____	_____	_____	_____	से	तो	बेहद	अच्छा	0
बेहद	0	4	ब	बे	बेह	द	हद	ेहद	0	ब	े	ह	द	_	बे	ेह	हद	द_	__	बेह	ेहद	हद_	द__	___	बेहद	ेहद_	हद__	द___	____	बेहद_	ेहद__	हद___	द____	_____	तो	ये	अच्छा	लगता	0
अच्छा	0	5	अ	अच	अच्	ा	छा	्छा	0	अ	च	्	छ	ा	अच	च्	्छ	छा	ा_	अच्	च्छ	्छा	छा_	ा__	अच्छ	च्छा	्छा_	छा__	ा___	अच्छा	च्छा_	्छा__	छा___	ा____	ये	बेहद	लगता	है	0
लगता	0	4	ल	लग	लगत	ा	ता	गता	0	ल	ग	त	ा	_	लग	गत	ता	ा_	__	लगत	गता	ता_	ा__	___	लगता	गता_	ता__	ा___	____	लगता_	गता__	ता___	ा____	_____	बेहद	अच्छा	है	NULL	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	अच्छा	लगता	NULL	NULL	0
EOL
फोन	0	3	फ	फो	फोन	न	ोन	फोन	0	फ	ो	न	_	_	फो	ोन	न_	__	__	फोन	ोन_	न__	___	___	फोन_	ोन__	न___	____	____	फोन__	ोन___	न____	_____	_____	NULL	NULL	साइज	और	0
साइज	0	4	स	सा	साइ	ज	इज	ाइज	1	स	ा	इ	ज	_	सा	ाइ	इज	ज_	__	साइ	ाइज	इज_	ज__	___	साइज	ाइज_	इज__	ज___	____	साइज_	ाइज__	इज___	ज____	_____	NULL	फोन	और	फील	B_ASP
