आपको	0	4	आ	आप	आपक	ो	को	पको	0	आ	प	क	ो	_	आप	पक	को	ो_	__	आपक	पको	को_	ो__	___	आपको	पको_	को__	ो___	____	आपको_	पको__	को___	ो____	_____	NULL	NULL	बस	एक	0
2	0	1	2	NULL	NULL	2	NULL	NULL	0	2	_	_	_	_	2_	__	__	__	__	2__	___	___	___	___	2___	____	____	____	____	2____	_____	_____	_____	_____	जीपीयू	और	जीबी	रैम	0
जीबी	0	4	ज	जी	जीब	ी	बी	ीबी	0	ज	ी	ब	ी	_	जी	ीब	बी	ी_	__	जीब	ीबी	बी_	ी__	___	जीबी	ीबी_	बी__	ी___	____	जीबी_	ीबी__	बी___	ी____	_____	और	2	रैम	है	0
रैम	0	3	र	रै	रैम	म	ैम	रैम	1	र	ै	म	_	_	रै	ैम	म_	__	__	रैम	ैम_	म__	___	___	रैम_	ैम__	म___	____	____	रैम__	ैम___	म____	_____	_____	2	जीबी	है	NULL	B_ASP
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	जीबी	रैम	NULL	NULL	0
EOL
इसके	1	4	इ	इस	इसक	े	के	सके	0	इ	स	क	े	_	इस	सक	के	े_	__	इसक	सके	के_	े__	___	इसके	सके_	के__	े___	____	इसके_	सके__	के___	े____	_____	NULL	NULL	स्पेसिफिकेशन	अच्छे	0
स्पेसिफिकेशन	0	12	स	स्	स्प	न	शन	ेशन	1	स	्	प	े	स	स्	्प	पे	ेस	सि	स्प	्पे	पेस	ेसि	सिफ	स्पे	्पेस	पेसि	ेसिफ	सिफि	स्पेस	्पेसि	पेसिफ	ेसिफि	सिफिक	NULL	इसके	अच्छे	हैं	0
अच्छे	0	5	अ	अच	अच्	े	छे	्छे	0	अ	च	्	छ	े	अच	च्	्छ	छे	े_	अच्	च्छ	्छे	छे_	े__	अच्छ	च्छे	्छे_	छे__	े___	अच्छे	च्छे_	्छे__	छे___	े____	इसके	स्पेसिफिकेशन	हैं	और	0
हैं	1	3	ह	है	हैं	ं	ैं	हैं	0	ह	ै	ं	_	_	है	ैं	ं_	__	__	हैं	ैं_	ं__	___	___	हैं_	ैं__	ं___	____	____	हैं__	ैं___	ं____	_____	_____	स्पेसिफिकेशन	अच्छे	और	यह	0
और	1	2	औ	और	NULL	र	और	NULL	0	औ	र	_	_	_	और	र_	__	__	__	और_	र__	___	___	___	और__	र___	____	____	____	और___	र____	_____	_____	_____	अच्छे	हैं	यह	एंड्रायड	0
यह	1	2	य	यह	NULL	ह	यह	NULL	0	य	ह	_	_	_	यह	ह_	__	__	__	यह_	ह__	___	___	___	यह__	ह___	____	____	____	यह___	ह____	_____	_____	_____	हैं	और	एंड्रायड	4.1	0
एंड्रायड	0	8	ए	एं	एंड	ड	यड	ायड	0	ए	ं	ड	्	र	एं	ंड	ड्	्र	रा	एंड	ंड्	ड्र	्रा	राय	एंड्	ंड्र	ड्रा	्राय	रायड	एंड्र	ंड्रा	ड्राय	्रायड	रायड_	और	यह	4.1	जेली	0
4.1	0	3	4	4.	4.1	1	.1	4.1	0	4	.	1	_	_	4.	.1	1_	__	__	4.1	.1_	1__	___	___	4.1_	.1__	1___	____	____	4.1__	.1___	1____	_____	_____	यह	एंड्रायड	जेली	बीन	B_ASP
जेली	0	4	ज	जे	जेल	ी	ली	ेली	0	ज	े	ल	ी	_	जे	ेल	ली	ी_	__	जेल	ेली	ली_	ी__	___	जेली	ेली_	ली__	ी___	____	जेली_	ेली__	ली___	ी____	_____	एंड्रायड	4.1	बीन	ऑपरेटिंग	I_ASP
बीन	0	3	ब	बी	बीन	न	ीन	बीन	0	ब	ी	न	_	_	बी	ीन	न_	__	__	बीन	ीन_	न__	___	___	बीन_	ीन__	न___	____	____	बीन__	ीन___	न____	_____	_____	4.1	जेली	ऑपरेटिंग	सिस्टम	I_ASP
ऑपरेटिंग	0	8	ऑ	ऑप	ऑपर	ग	ंग	िंग	1	ऑ	प	र	े	ट	ऑप	पर	रे	ेट	टि	ऑपर	परे	रेट	ेटि	टिं	ऑपरे	परेट	रेटि	ेटिं	टिंग	ऑपरेट	परेटि	रेटिं	ेटिंग	टिंग_	जेली	बीन	सिस्टम	पर	I_ASP
सिस्टम	0	6	स	सि	सिस	म	टम	्टम	1	स	ि	स	्	ट	सि	िस	स्	्ट	टम	सिस	िस्	स्ट	्टम	टम_	सिस्	िस्ट	स्टम	्टम_	टम__	सिस्ट	िस्टम	स्टम_	्टम__	टम___	बीन	ऑपरेटिंग	पर	हुवेई	I_ASP
पर	1	2	प	पर	NULL	र	पर	NULL	0	प	र	_	_	_	पर	र_	__	__	__	पर_	र__	___	___	___	पर__	र___	____	____	____	पर___	र____	_____	_____	_____	ऑपरेटिंग	सिस्टम	हुवेई	कस्टम	0
हुवेई	0	5	ह	हु	हुव	ई	ेई	वेई	0	ह	ु	व	े	ई	हु	ुव	वे	ेई	ई_	हुव	ुवे	वेई	ेई_	ई__	हुवे	ुवेई	वेई_	ेई__	ई___	हुवेई	ुवेई_	वेई__	ेई___	ई____	सिस्टम	पर	कस्टम	स्किन	0
कस्टम	0	5	क	कस	कस्	म	टम	्टम	0	क	स	्	ट	म	कस	स्	्ट	टम	म_	कस्	स्ट	्टम	टम_	म__	कस्ट	स्टम	्टम_	टम__	म___	कस्टम	स्टम_	्टम__	टम___	म____	पर	हुवेई	स्किन	के	B_ASP
स्किन	0	5	स	स्	स्क	न	िन	किन	0	स	्	क	ि	न	स्	्क	कि	िन	न_	स्क	्कि	किन	िन_	न__	स्कि	्किन	किन_	िन__	न___	स्किन	्किन_	किन__	िन___	न____	हुवेई	कस्टम	के	साथ	I_ASP
के	1	2	क	के	NULL	े	के	NULL	0	क	े	_	_	_	के	े_	__	__	__	के_	े__	___	___	___	के__	े___	____	____	____	के___	े____	_____	_____	_____	कस्टम	स्किन	साथ	काम	0
साथ	1	3	स	सा	साथ	थ	ाथ	साथ	0	स	ा	थ	_	_	सा	ाथ	थ_	__	__	साथ	ाथ_	थ__	___	___	साथ_	ाथ__	थ___	____	____	साथ__	ाथ___	थ____	_____	_____	स्किन	के	काम	करता	0
काम	0	3	क	का	काम	म	ाम	काम	0	क	ा	म	_	_	का	ाम	म_	__	__	काम	ाम_	म__	___	___	काम_	ाम__	म___	____	____	काम__	ाम___	म____	_____	_____	के	साथ	करता	है	0
करता	1	4	क	कर	करत	ा	ता	रता	0	क	र	त	ा	_	कर	रत	ता	ा_	__	करत	रता	ता_	ा__	___	करता	रता_	ता__	ा___	____	करता_	रता__	ता___	ा____	_____	साथ	काम	है	NULL	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	काम	करता	NULL	NULL	0
EOL
3.15	0	4	3	3.	3.1	5	15	.15	0	3	.	1	5	_	3.	.1	15	5_	__	3.1	.15	15_	5__	___	3.15	.15_	15__	5___	____	3.15_	.15__	15___	5____	_____	NULL	NULL	मेगापिक्सेल	कैमरा	B_ASP
मेगापिक्सेल	0	11	म	मे	मेग	ल	ेल	सेल	0	म	े	ग	ा	प	मे	ेग	गा	ाप	पि	मेग	ेगा	गाप	ापि	पिक	मेगा	ेगाप	गापि	ापिक	पिक्	मेगाप	ेगापि	गापिक	ापिक्	पिक्स	NULL	3.15	कैमरा	720पी	I_ASP
कैमरा	0	5	क	कै	कैम	ा	रा	मरा	1	क	ै	म	र	ा	कै	ैम	मर	रा	ा_	कैम	ैमर	मरा	रा_	ा__	कैमर	ैमरा	मरा_	रा__	ा___	कैमरा	ैमरा_	मरा__	रा___	ा____	3.15	मेगापिक्सेल	720पी	एचडी	I_ASP
720पी	0	5	7	72	720	ी	पी	0पी	0	7	2	0	प	ी	72	20	0प	पी	ी_	720	20प	0पी	पी_	ी__	720प	20पी	0पी_	पी__	ी___	720पी	20पी_	0पी__	पी___	ी____	मेगापिक्सेल	कैमरा	एचडी	वीडियो	I_ASP
एचडी	0	4	ए	एच	एचड	ी	डी	चडी	0	ए	च	ड	ी	_	एच	चड	डी	ी_	__	एचड	चडी	डी_	ी__	___	एचडी	चडी_	डी__	ी___	____	एचडी_	चडी__	डी___	ी____	_____	कैमरा	720पी	वीडियो	रिकार्डिंग	I_ASP
वीडियो	0	6	व	वी	वीड	ो	यो	ियो	1	व	ी	ड	ि	य	वी	ीड	डि	िय	यो	वीड	ीडि	डिय	ियो	यो_	वीडि	ीडिय	डियो	ियो_	यो__	वीडिय	ीडियो	डियो_	ियो__	यो___	720पी	एचडी	रिकार्डिंग	के	I_ASP
रिकार्डिंग	0	10	र	रि	रिक	ग	ंग	िंग	0	र	ि	क	ा	र	रि	िक	का	ार	र्	रिक	िका	कार	ार्	र्ड	रिका	िकार	कार्	ार्ड	र्डि	रिकार	िकार्	कार्ड	ार्डि	र्डिं	एचडी	वीडियो	के	साथ	I_ASP
के	1	2	क	के	NULL	े	के	NULL	0	क	े	_	_	_	के	े_	__	__	__	के_	े__	___	___	___	के__	े___	____	____	____	के___	े____	_____	_____	_____	वीडियो	रिकार्डिंग	साथ	NULL	0
साथ	1	3	स	सा	साथ	थ	ाथ	साथ	0	स	ा	थ	_	_	सा	ाथ	थ_	__	__	साथ	ाथ_	थ__	___	___	साथ_	ाथ__	थ___	____	____	साथ__	ाथ___	थ____	_____	_____	रिकार्डिंग	के	NULL	NULL	0
EOL
लिनोवो	0	6	ल	लि	लिन	ो	वो	ोवो	0	ल	ि	न	ो	व	लि	िन	नो	ोव	वो	लिन	िनो	नोव	ोवो	वो_	लिनो	िनोव	नोवो	ोवो_	वो__	लिनोव	िनोवो	नोवो_	ोवो__	वो___	NULL	NULL	ए	1000	0
ए	0	1	ए	NULL	NULL	ए	NULL	NULL	0	ए	_	_	_	_	ए_	__	__	__	__	ए__	___	___	___	___	ए___	____	____	____	____	ए____	_____	_____	_____	_____	NULL	लिनोवो	1000	में	0
1000	0	4	1	10	100	0	00	000	0	1	0	0	0	_	10	00	00	0_	__	100	000	00_	0__	___	1000	000_	00__	0___	____	1000_	000__	00___	0____	_____	लिनोवो	ए	में	7	0
में	1	3	म	मे	में	ं	ें	में	0	म	े	ं	_	_	मे	ें	ं_	__	__	में	ें_	ं__	___	___	में_	ें__	ं___	____	____	में__	ें___	ं____	_____	_____	ए	1000	7	इंच	0
7	0	1	7	NULL	NULL	7	NULL	NULL	0	7	_	_	_	_	7_	__	__	__	__	7__	___	___	___	___	7___	____	____	____	____	7____	_____	_____	_____	_____	1000	में	इंच	की	B_ASP
इंच	0	3	इ	इं	इंच	च	ंच	इंच	0	इ	ं	च	_	_	इं	ंच	च_	__	__	इंच	ंच_	च__	___	___	इंच_	ंच__	च___	____	____	इंच__	ंच___	च____	_____	_____	में	7	की	स्‍क्रीन	I_ASP
की	1	2	क	की	NULL	ी	की	NULL	0	क	ी	_	_	_	की	ी_	__	__	__	की_	ी__	___	___	___	की__	ी___	____	____	____	की___	ी____	_____	_____	_____	7	इंच	स्‍क्रीन	दी	I_ASP
स्‍क्रीन	0	8	स	स्	स्‍	न	ीन	रीन	1	स	्	‍	क	्	स्	्‍	‍क	क्	्र	स्‍	्‍क	‍क्	क्र	्री	स्‍क	्‍क्	‍क्र	क्री	्रीन	स्‍क्	्‍क्र	‍क्री	क्रीन	्रीन_	इंच	की	दी	गई	I_ASP
दी	0	2	द	दी	NULL	ी	दी	NULL	0	द	ी	_	_	_	दी	ी_	__	__	__	दी_	ी__	___	___	___	दी__	ी___	____	____	____	दी___	ी____	_____	_____	_____	की	स्‍क्रीन	गई	है	0
गई	0	2	ग	गई	NULL	ई	गई	NULL	0	ग	ई	_	_	_	गई	ई_	__	__	__	गई_	ई__	___	___	___	गई__	ई___	____	____	____	गई___	ई____	_____	_____	_____	स्‍क्रीन	दी	है	जो	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	दी	गई	जो	1024x600	0
जो	1	2	ज	जो	NULL	ो	जो	NULL	0	ज	ो	_	_	_	जो	ो_	__	__	__	जो_	ो__	___	___	___	जो__	ो___	____	____	____	जो___	ो____	_____	_____	_____	गई	है	1024x600	पिक्‍सल	0
1024x600	0	8	1	10	102	0	00	600	0	1	0	2	4	x	10	02	24	4x	x6	102	024	24x	4x6	x60	1024	024x	24x6	4x60	x600	1024x	024x6	24x60	4x600	x600_	है	जो	पिक्‍सल	सपोर्ट	B_ASP
पिक्‍सल	0	7	प	पि	पिक	ल	सल	‍सल	0	प	ि	क	्	‍	पि	िक	क्	्‍	‍स	पिक	िक्	क्‍	्‍स	‍सल	पिक्	िक्‍	क्‍स	्‍सल	‍सल_	पिक्‍	िक्‍स	क्‍सल	्‍सल_	‍सल__	जो	1024x600	सपोर्ट	करती	I_ASP
सपोर्ट	0	6	स	सप	सपो	ट	्ट	र्ट	0	स	प	ो	र	्	सप	पो	ोर	र्	्ट	सपो	पोर	ोर्	र्ट	्ट_	सपोर	पोर्	ोर्ट	र्ट_	्ट__	सपोर्	पोर्ट	ोर्ट_	र्ट__	्ट___	1024x600	पिक्‍सल	करती	है	I_ASP
करती	0	4	क	कर	करत	ी	ती	रती	0	क	र	त	ी	_	कर	रत	ती	ी_	__	करत	रती	ती_	ी__	___	करती	रती_	ती__	ी___	____	करती_	रती__	ती___	ी____	_____	पिक्‍सल	सपोर्ट	है	NULL	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	सपोर्ट	करती	NULL	NULL	0
EOL
इस	1	2	इ	इस	NULL	स	इस	NULL	0	इ	स	_	_	_	इस	स_	__	__	__	इस_	स__	___	___	___	इस__	स___	____	____	____	इस___	स____	_____	_____	_____	NULL	NULL	टेबलेट	में	0
टेबलेट	0	6	ट	टे	टेब	ट	ेट	लेट	0	ट	े	ब	ल	े	टे	ेब	बल	ले	ेट	टेब	ेबल	बले	लेट	ेट_	टेबल	ेबले	बलेट	लेट_	ेट__	टेबले	ेबलेट	बलेट_	लेट__	ेट___	NULL	इस	में	8	0
में	1	3	म	मे	में	ं	ें	में	0	म	े	ं	_	_	मे	ें	ं_	__	__	में	ें_	ं__	___	___	में_	ें__	ं___	____	____	में__	ें___	ं____	_____	_____	इस	टेबलेट	8	इंच	0
8	0	1	8	NULL	NULL	8	NULL	NULL	0	8	_	_	_	_	8_	__	__	__	__	8__	___	___	___	___	8___	____	____	____	____	8____	_____	_____	_____	_____	टेबलेट	में	इंच	फुल	B_ASP
इंच	0	3	इ	इं	इंच	च	ंच	इंच	0	इ	ं	च	_	_	इं	ंच	च_	__	__	इंच	ंच_	च__	___	___	इंच_	ंच__	च___	____	____	इंच__	ंच___	च____	_____	_____	में	8	फुल	एचडी	I_ASP
फुल	0	3	फ	फु	फुल	ल	ुल	फुल	0	फ	ु	ल	_	_	फु	ुल	ल_	__	__	फुल	ुल_	ल__	___	___	फुल_	ुल__	ल___	____	____	फुल__	ुल___	ल____	_____	_____	8	इंच	एचडी	आईपीएस	I_ASP
एचडी	0	4	ए	एच	एचड	ी	डी	चडी	0	ए	च	ड	ी	_	एच	चड	डी	ी_	__	एचड	चडी	डी_	ी__	___	एचडी	चडी_	डी__	ी___	____	एचडी_	चडी__	डी___	ी____	_____	इंच	फुल	आईपीएस	डिस्पले	I_ASP
आईपीएस	0	6	आ	आई	आईप	स	एस	ीएस	0	आ	ई	प	ी	ए	आई	ईप	पी	ीए	एस	आईप	ईपी	पीए	ीएस	एस_	आईपी	ईपीए	पीएस	ीएस_	एस__	आईपीए	ईपीएस	पीएस_	ीएस__	एस___	फुल	एचडी	डिस्पले	स्क्रीन	I_ASP
