बु	ुध	धव	वा	ार	
EO	OL	L_	__	__	

ले	ेन	नो	ोव	वो	
यो	ोग	गा	ा_	__	
2_	__	__	__	__	
एक	क_	__	__	__	
अच	च्	्छ	छे	े_	
टै	ैब	बल	ले	ेट	
की	ी_	__	__	__	
श्	्र	रे	ेण	णी	
मे	ें	ं_	__	__	
आत	ता	ा_	__	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

कि	िक	कस	स्	्ट	
से	े_	__	__	__	
इस	सक	की	ी_	__	
उप	पय	यो	ोग	गि	
और	र_	__	__	__	
भी	ी_	__	__	__	
ज्	्य	या	ाद	दा	
हो	ो_	__	__	__	
जा	ात	ती	ी_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

यह	ह_	__	__	__	
सा	ाध	धा	ार	रण	
सा	ा_	__	__	__	
स्	्ट	टै	ैं	ंड	
आप	पक	को	ो_	__	
टै	ैब	बल	ले	ेट	
को	ो_	__	__	__	
वि	िव	वि	िध	ध_	
रू	ूप	पो	ों	ं_	
मे	ें	ं_	__	__	
उप	पय	यो	ोग	ग_	
कर	र_	__	__	__	
सक	कन	ने	े_	__	
की	ी_	__	__	__	
आज	जा	ाद	दी	ी_	
दे	ेत	ता	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	सल	लि	िए	ए_	
अग	गर	र_	__	__	
आप	प_	__	__	__	
एं	ंड	ड्	्र	रॉ	
टै	ैब	बल	ले	ेट	
ले	ेन	ने	े_	__	
का	ा_	__	__	__	
मन	न_	__	__	__	
बन	ना	ा_	__	__	
रह	हे	े_	__	__	
है	ैं	ं_	__	__	
ले	ेक	कि	िन	न_	
एं	ंड	ड्	्र	रॉ	
यू	ूआ	आई	ई_	__	
आप	पक	को	ो_	__	
बह	हु	ुत	त_	__	
अध	धि	िक	क_	__	
पस	सं	ंद	द_	__	
नह	ही	ीं	ं_	__	
है	ै_	__	__	__	
,_	__	__	__	__	
तो	ो_	__	__	__	
आप	प_	__	__	__	
नि	िश	श्	्च	चि	
रू	ूप	प_	__	__	
से	े_	__	__	__	
ले	ेन	नो	ोव	वो	
यो	ोग	गा	ा_	__	
2_	__	__	__	__	
खर	री	ीद	द_	__	
सक	कत	ते	े_	__	
है	ैं	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

अच	च्	्छ	छी	ी_	
बै	ैट	टर	री	ी_	
क्	्ष	षम	मत	ता	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

बढ	ढि	िय	या	ा_	
पर	रफ	फॉ	ॉर	र्	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

फ्	्र	रं	ंट	ट_	
कै	ैम	मर	रा	ा_	
की	ी_	__	__	__	
खर	रा	ाब	ब_	__	
क्	्व	वा	ाल	लि	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

3ज	जी	ी_	__	__	
और	र_	__	__	__	
स्	्ट	टै	ैण	ण्	
सि	िम	म_	__	__	
का	ार	र्	्ड	ड_	
के	े_	__	__	__	
सा	ाथ	थ_	__	__	
वॉ	ॉ_	__	__	__	
यस	स_	__	__	__	
का	ाल	लि	िं	ंग	
क्	्ष	षम	मत	ता	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

5_	__	__	__	__	
मे	ेग	गा	ाप	पि	
रि	िय	यर	र_	__	
कै	ैम	मर	रा	ा_	
और	र_	__	__	__	
1.	.9	9_	__	__	
मे	ेग	गा	ाप	पि	
फ्	्र	रं	ंट	ट_	
फे	ेस	सि	िं	ंग	
कै	ैम	मर	रा	ा_	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

सै	ैम	मस	सं	ंग	
गै	ैल	ले	ेक	क्	
नो	ोट	ट_	__	__	
80	00	0_	__	__	
एक	क_	__	__	__	
बे	ेह	हत	तर	री	
एं	ंड	ड्	्र	रा	
टे	ेब	बल	ले	ेट	
है	ै_	__	__	__	
,_	__	__	__	__	
जो	ो_	__	__	__	
अप	पन	ने	े_	__	
शक	क्	्त	ति	िश	
पर	रफ	फॉ	ॉर	रम	
से	े_	__	__	__	
बह	हु	ुत	त_	__	
से	े_	__	__	__	
अच	च्	्छ	छे	े_	
टे	ेब	बल	ले	ेट	
को	ो_	__	__	__	
भी	ी_	__	__	__	
पी	ीछ	छे	े_	__	
छो	ोड़	ड़_	__	__	
दे	ेत	ता	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	स_	__	__	__	
टे	ेब	बल	ले	ेट	
मे	ें	ं_	__	__	
सब	ब_	__	__	__	
कु	ुछ	छ_	__	__	
है	ै_	__	__	__	
,_	__	__	__	__	
जै	ैस	से	े_	__	
बह	हु	ुत	त_	__	
अच	च्	्छ	छी	ी_	
शक	क्	्त	ति	ि_	
,_	__	__	__	__	
बे	ेह	हत	तर	री	
डि	िस	स्	्प	प्	
और	र_	__	__	__	
अच	च्	्छ	छी	ी_	
बै	ैट	टर	री	ी_	
ला	ाइ	इफ	फ_	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	सम	मे	ें	ं_	
सि	िर	र्	्फ	फ_	
एक	क_	__	__	__	
ही	ी_	__	__	__	
कम	मी	ी_	__	__	
है	ै_	__	__	__	
,_	__	__	__	__	
और	र_	__	__	__	
वो	ो_	__	__	__	
है	ै_	__	__	__	
,_	__	__	__	__	
इस	सक	की	ी_	__	
अच	च्	्छ	छी	ी_	
बन	ना	ाव	वट	ट_	
का	ा_	__	__	__	
ना	ा_	__	__	__	
हो	ोन	ना	ा_	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

ले	ेक	कि	िन	न_	
इस	सक	की	ी_	__	
बह	हु	ुत	त_	__	
सी	ी_	__	__	__	
खू	ूब	बि	िय	यो	
को	ो_	__	__	__	
दे	ेख	खत	ते	े_	
हु	ुए	ए_	__	__	
इस	स_	__	__	__	
कम	मी	ी_	__	__	
को	ो_	__	__	__	
अन	नद	दे	ेख	खा	
कि	िय	या	ा_	__	
जा	ा_	__	__	__	
सक	कत	ता	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

अग	गर	र_	__	__	
आप	प_	__	__	__	
एक	क_	__	__	__	
प्	्र	री	ीम	मि	
एं	ंड	ड्	्र	रा	
डि	िव	वा	ाइ	इस	
खर	री	ीद	दन	ना	
चा	ाह	हत	ते	े_	
है	ैं	ं_	__	__	
,_	__	__	__	__	
तो	ो_	__	__	__	
इस	स_	__	__	__	
टे	ेब	बल	ले	ेट	
को	ो_	__	__	__	
आप	प_	__	__	__	
अव	वश	श्	्य	य_	
खर	री	ीद	दे	ें	
।_	__	__	__	__	
EO	OL	L_	__	__	

सै	ैम	मस	सं	ंग	
गै	ैल	ले	ेक	क्	
नो	ोट	ट_	__	__	
80	00	0_	__	__	
मे	ें	ं_	__	__	
10	0.	.1	1-	-इ	
का	ा_	__	__	__	
डि	िस	स्	्प	प्	
,_	__	__	__	__	
फ्	्र	रं	ंट	ट_	
फे	ेस	सि	िं	ंग	
कै	ैम	मर	रा	ा_	
,_	__	__	__	__	
ला	ाइ	इट	ट_	__	
से	ें	ंस	सर	र_	
और	र_	__	__	__	
स्	्क	क्	्र	री	
के	े_	__	__	__	
दो	ोन	नो	ों	ं_	
तर	रफ	फ_	__	__	
दो	ो_	__	__	__	
स्	्प	पी	ीक	कर	
है	ैं	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	स_	__	__	__	
टे	ेब	बल	ले	ेट	
की	ी_	__	__	__	
बन	ना	ाव	वट	ट_	
का	ाफ	फी	ी_	__	
प्	्ल	ला	ास	स्	
फी	ील	ल_	__	__	
दे	ेत	ता	ा_	__	
है	ै_	__	__	__	
,_	__	__	__	__	
जो	ो_	__	__	__	
अच	च्	्छ	छा	ा_	
नह	ही	ीं	ं_	__	
दि	िख	खा	ाई	ई_	
दे	ेत	ता	ा_	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

हल	ला	ां	ंक	कि	
प्	्ल	ला	ास	स्	
के	े_	__	__	__	
इस	स्	्त	ते	ेम	
से	े_	__	__	__	
यह	ह_	__	__	__	
टे	ेब	बल	ले	ेट	
60	00	0_	__	__	
ग्	्र	रा	ाम	म_	
से	े_	__	__	__	
कम	म_	__	__	__	
वज़	ज़न	न_	__	__	
के	े_	__	__	__	
सा	ाथ	थ_	__	__	
का	ाफ	फी	ी_	__	
हल	ल्	्क	का	ा_	
है	ै_	__	__	__	
,_	__	__	__	__	
ले	ेक	कि	िन	न_	
यह	ह_	__	__	__	
इस	से	े_	__	__	
एक	क_	__	__	__	
प्	्र	री	ीम	मि	
फी	ील	ल_	__	__	
बि	िल	ल्	्क	कु	
नह	ही	ीं	ं_	__	
दे	ेत	ता	ा_	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	स_	__	__	__	
टे	ेब	बल	ले	ेट	
के	े_	__	__	__	
ऊप	पर	र_	__	__	
के	े_	__	__	__	
हि	िस	स्	्स	से	
मे	ें	ं_	__	__	
पॉ	ॉव	वर	र_	__	
/_	__	__	__	__	
स्	्ल	ली	ीप	प_	
/_	__	__	__	__	
वे	ेक	क_	__	__	
बट	टन	न_	__	__	
,_	__	__	__	__	
वॉ	ॉल	ल्	्य	यू	
रॉ	ॉक	कर	र_	__	
,_	__	__	__	__	
मा	ाइ	इक	क्	्र	
एस	सड	डी	ी_	__	
का	ार	र्	्ड	ड_	
स्	्ल	लॉ	ॉट	ट_	
,_	__	__	__	__	
आई	ईआ	आर	र_	__	
बी	ीम	म_	__	__	
(_	__	__	__	__	
जि	िस	सस	से	े_	
आप	प_	__	__	__	
इस	स_	__	__	__	
डि	िव	वा	ाइ	इस	
को	ो_	__	__	__	
एक	क_	__	__	__	
रि	िम	मो	ोट	ट_	
की	ी_	__	__	__	
तर	रह	ह_	__	__	
इस	स्	्त	ते	ेम	
कर	र_	__	__	__	
सक	कत	ते	े_	__	
है	ैं	ं_	__	__	
)_	__	__	__	__	
,_	__	__	__	__	
है	ै_	__	__	__	
,_	__	__	__	__	
डफ़	फ़ो	ोन	न्	्स	
जै	ैक	क_	__	__	
और	र_	__	__	__	
सि	िम	म_	__	__	
का	ार	र्	्ड	ड_	
स्	्ल	लॉ	ॉट	ट_	
है	ैं	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	स_	__	__	__	
टे	ेब	बल	ले	ेट	
मे	ें	ं_	__	__	
दि	िए	ए_	__	__	
गए	ए_	__	__	__	
सि	िम	म_	__	__	
का	ार	र्	्ड	ड_	
स्	्ल	लॉ	ॉट	ट_	
का	ा_	__	__	__	
इस	स्	्त	ते	ेम	
ना	ा_	__	__	__	
सि	िर	र्	्फ	फ_	
3ज	जी	ी_	__	__	
डे	ेट	टा	ा_	__	
के	े_	__	__	__	
लि	िए	ए_	__	__	
हो	ो_	__	__	__	
सक	कत	ता	ा_	__	
है	ै_	__	__	__	
,_	__	__	__	__	
बल	ल्	्क	कि	ि_	
इस	सस	से	े_	__	
आप	प_	__	__	__	
कॉ	ॉल	ल_	__	__	
भी	ी_	__	__	__	
कर	र_	__	__	__	
सक	कत	ते	े_	__	
है	ैं	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

गै	ैल	ले	ेक	क्	
नो	ोट	ट_	__	__	
80	00	0_	__	__	
के	े_	__	__	__	
सा	ाथ	थ_	__	__	
को	ोई	ई_	__	__	
ईय	यर	रप	पी	ीस	
नह	ही	ीं	ं_	__	
दि	िय	या	ा_	__	
गय	या	ा_	__	__	
है	ै_	__	__	__	
,_	__	__	__	__	
ले	ेक	कि	िन	न_	
कॉ	ॉल	ल_	__	__	
के	े_	__	__	__	
लि	िए	ए_	__	__	
आप	प_	__	__	__	
इस	सक	के	े_	__	
स्	्प	पी	ीक	कर	
का	ा_	__	__	__	
इस	स्	्त	ते	ेम	
कर	र_	__	__	__	
सक	कत	ते	े_	__	
है	ैं	ं_	__	__	
,_	__	__	__	__	
और	र_	__	__	__	
अग	गर	र_	__	__	
आप	प_	__	__	__	
प्	्र	रा	ाइ	इव	
चा	ाह	हत	ते	े_	
है	ैं	ं_	__	__	
तो	ो_	__	__	__	
इस	सक	के	े_	__	
सा	ाथ	थ_	__	__	
दि	िए	ए_	__	__	
गए	ए_	__	__	__	
है	ै_	__	__	__	
डफ़	फ़ो	ोन	न्	्स	
का	ा_	__	__	__	
इस	स्	्त	ते	ेम	
कर	र_	__	__	__	
सक	कत	ते	े_	__	
है	ैं	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	स_	__	__	__	
टे	ेब	बल	ले	ेट	
मे	ें	ं_	__	__	
नी	ीच	चे	े_	__	
के	े_	__	__	__	
हि	िस	स्	्स	से	
मे	ें	ं_	__	__	
दा	ाह	हि	िन	नी	
तर	रफ	फ_	__	__	
एस	स_	__	__	__	
पे	ेन	न_	__	__	
भी	ी_	__	__	__	
दि	िय	या	ा_	__	
गय	या	ा_	__	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	सक	का	ा_	__	
आक	का	ार	र_	__	
गै	ैल	ले	ेक	क्	
नो	ोट	ट_	__	__	
से	े_	__	__	__	
का	ाफ	फी	ी_	__	
बड़	ड़ा	ा_	__	__	
है	ै_	__	__	__	
और	र_	__	__	__	
इस	सक	की	ी_	__	
बन	ना	ाव	वट	ट_	
का	ाफ	फी	ी_	__	
अच	च्	्छ	छी	ी_	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

भल	ले	े_	__	__	
ही	ी_	__	__	__	
इस	स_	__	__	__	
डि	िव	वा	ाइ	इस	
की	ी_	__	__	__	
बन	ना	ाव	वट	ट_	
बह	हु	ुत	त_	__	
अच	च्	्छ	छी	ी_	
ना	ा_	__	__	__	
हो	ो_	__	__	__	
,_	__	__	__	__	
ले	ेक	कि	िन	न_	
शक	क्	्त	ति	ि_	
के	े_	__	__	__	
मा	ाम	मल	ले	े_	
मे	ें	ं_	__	__	
गै	ैल	ले	ेक	क्	
नो	ोट	ट_	__	__	
80	00	0_	__	__	
अप	पन	ने	े_	__	
प्	्र	रत	ति	िय	
को	ो_	__	__	__	
बि	िल	ल्	्क	कु	
पी	ीछ	छे	े_	__	
छो	ोड़	ड़_	__	__	
दे	ेत	ता	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	सम	मे	ें	ं_	
2_	__	__	__	__	
जी	ीब	बी	ी_	__	
रै	ैम	म_	__	__	
के	े_	__	__	__	
सा	ाथ	थ_	__	__	
1.	.4	4_	__	__	
गी	ीग	गा	ाह	हर	
एक	क्	्स	सी	ीन	
क्	्व	वा	ाड	ड_	
को	ोर	र_	__	__	
प्	्र	रो	ोस	से	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	सम	मे	ें	ं_	
मा	ाल	ली	ी_	__	
40	00	0ए	एम	मप	
ग्	्र	रा	ाफ़	फ़ि	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

गै	ैल	ले	ेक	क्	
नो	ोट	ट_	__	__	
80	00	0_	__	__	
मे	ें	ं_	__	__	
दि	िए	ए_	__	__	
गए	ए_	__	__	__	
2_	__	__	__	__	
जी	ीब	बी	ी_	__	
रै	ैम	म_	__	__	
का	ा_	__	__	__	
इस	सक	के	े_	__	
पर	रफ	फॉ	ॉर	रम	
पर	र_	__	__	__	
अस	सर	र_	__	__	
बि	िल	ल्	्क	कु	
सा	ाफ़	फ़_	__	__	
दि	िख	खा	ाई	ई_	
दे	ेत	ता	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

गै	ैल	ले	ेक	क्	
नो	ोट	ट_	__	__	
80	00	0_	__	__	
मे	ें	ं_	__	__	
इस	सक	के	े_	__	
ऑप	पर	रे	ेट	टि	
सि	िस	स्	्ट	टम	
को	ो_	__	__	__	
सै	ैम	मस	सं	ंग	
के	े_	__	__	__	
टच	चव	वि	िज़	ज़_	
यू	ूज	जर	र_	__	
इं	ंट	टर	रफ़	फ़े	
के	े_	__	__	__	
सा	ाथ	थ_	__	__	
स्	्क	कि	िन	न_	
कि	िय	या	ा_	__	
गय	या	ा_	__	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

सै	ैम	मस	सं	ंग	
के	े_	__	__	__	
टच	चव	वि	िज़	ज़_	
यू	ूज	जर	र_	__	
इं	ंट	टर	रफ़	फ़े	
मे	ें	ं_	__	__	
कस	स्	्ट	टम	मा	
के	े_	__	__	__	
लि	िए	ए_	__	__	
पर	र्	्य	या	ाप	
स्	्क	को	ोप	प_	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

गै	ैल	ले	ेक	क्	
नो	ोट	ट_	__	__	
80	00	0_	__	__	
का	ा_	__	__	__	
लॉ	ॉक	क_	__	__	
स्	्क	क्	्र	री	
सि	िं	ंप	पल	ल_	
और	र_	__	__	__	
अच	च्	्छ	छा	ा_	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	स_	__	__	__	
टे	ेब	बल	ले	ेट	
के	े_	__	__	__	
डि	िस	स्	्प	प्	
मे	ें	ं_	__	__	
कि	िस	सी	ी_	__	
भी	ी_	__	__	__	
ज़ग	गह	ह_	__	__	
पर	र_	__	__	__	
स्	्व	वा	ाइ	इप	
कर	रक	के	े_	__	
इस	सक	के	े_	__	
स्	्क	क्	्र	री	
को	ो_	__	__	__	
अन	नल	लॉ	ॉक	क_	
कि	िय	या	ा_	__	
जा	ा_	__	__	__	
सक	कत	ता	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	सम	मे	ें	ं_	
हो	ोम	म_	__	__	
स्	्क	क्	्र	री	
के	े_	__	__	__	
नी	ीच	चे	े_	__	
के	े_	__	__	__	
हि	िस	स्	्स	से	
मे	ें	ं_	__	__	
सा	ाम	मा	ान	न्	
एं	ंड	ड्	्र	रा	
बट	टन	न_	__	__	
बै	ैक	क_	__	__	
,_	__	__	__	__	
हो	ोम	म_	__	__	
और	र_	__	__	__	
मल	ल्	्ट	टी	ीट	
है	ैं	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

गै	ैल	ले	ेक	क्	
नो	ोट	ट_	__	__	
80	00	0_	__	__	
मे	ें	ं_	__	__	
एक	क_	__	__	__	
बह	हु	ुत	त_	__	
उप	पय	यो	ोग	गी	
फी	ीच	चर	र_	__	
एस	स_	__	__	__	
पे	ेन	न_	__	__	
दि	िय	या	ा_	__	
गय	या	ा_	__	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

जै	ैस	से	े_	__	
ही	ी_	__	__	__	
आप	प_	__	__	__	
इस	स_	__	__	__	
एस	स_	__	__	__	
पे	ेन	न_	__	__	
को	ो_	__	__	__	
इस	सक	के	े_	__	
हो	ोल	ल्	्ड	डर	
से	े_	__	__	__	
बा	ाह	हर	र_	__	
नि	िक	का	ाल	लत	
है	ै_	__	__	__	
,_	__	__	__	__	
इस	स_	__	__	__	
टे	ेब	बल	ले	ेट	
के	े_	__	__	__	
स्	्क	क्	्र	री	
के	े_	__	__	__	
दा	ाह	हि	िन	नी	
तर	रफ	फ_	__	__	
को	ोन	ने	े_	__	
मे	ें	ं_	__	__	
एक	क_	__	__	__	
मी	ीन	नू	ू_	__	
खु	ुल	ल_	__	__	
जा	ात	ता	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

यह	ह_	__	__	__	
मी	ीन	नू	ू_	__	
एस	स_	__	__	__	
नो	ोट	ट्	्स	स_	
,_	__	__	__	__	
एस	स_	__	__	__	
प्	्ल	ला	ान	नर	
,_	__	__	__	__	
क्	्र	रे	ेय	या	
फि	िज	जि	िक	क्	
,_	__	__	__	__	
फो	ोट	टो	ोश	शॉ	
टच	च_	__	__	__	
और	र_	__	__	__	
पे	ेन	न_	__	__	
से	ेट	टि	िं	ंग	
तक	क_	__	__	__	
पह	हु	ुं	ंच	चन	
के	े_	__	__	__	
लि	िए	ए_	__	__	
एक	क_	__	__	__	
शॉ	ॉर	र्	्ट	टक	
की	ी_	__	__	__	
तर	रह	ह_	__	__	
का	ाम	म_	__	__	
कर	रत	ता	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

यह	ह_	__	__	__	
मी	ीन	नू	ू_	__	
आप	पक	को	ो_	__	
उन	न_	__	__	__	
एप	प्	्स	स_	__	
तक	क_	__	__	__	
तु	ुर	रं	ंत	त_	
पह	हु	ुं	ंच	चा	
दे	ेत	ता	ा_	__	
है	ै_	__	__	__	
,_	__	__	__	__	
जो	ो_	__	__	__	
एस	स_	__	__	__	
पे	ेन	न_	__	__	
के	े_	__	__	__	
का	ाम	म_	__	__	
कर	रन	ने	े_	__	
के	े_	__	__	__	
दा	ाय	यर	रे	े_	
मे	ें	ं_	__	__	
आत	ते	े_	__	__	
है	ैं	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	सम	मे	ें	ं_	
कम	मी	ी_	__	__	
यह	ह_	__	__	__	
है	ै_	__	__	__	
,_	__	__	__	__	
की	ी_	__	__	__	
यह	ह_	__	__	__	
मी	ीन	नू	ू_	__	
अप	पन	ने	े_	__	
पस	सं	ंद	द_	__	
के	े_	__	__	__	
एप	प्	्स	स_	__	
को	ो_	__	__	__	
शा	ाम	मि	िल	ल_	
कर	रन	ने	े_	__	
के	े_	__	__	__	
लि	िए	ए_	__	__	
कस	स्	्ट	टम	मा	
नह	ही	ीं	ं_	__	
कि	िय	या	ा_	__	
जा	ा_	__	__	__	
सक	कत	ता	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

गै	ैल	ले	ेक	क्	
नो	ोट	ट_	__	__	
80	00	0_	__	__	
का	ा_	__	__	__	
डि	िस	स्	्प	प्	
का	ाफ	फी	ी_	__	
अच	च्	्छ	छा	ा_	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	सम	मे	ें	ं_	
12	28	80	0_	__	
x_	__	__	__	__	
80	00	0_	__	__	
पि	िक	क्	्स	से	
रे	ेज	जो	ोल	ल्	
का	ा_	__	__	__	
डि	िस	स्	्प	प्	
है	ै_	__	__	__	
,_	__	__	__	__	
